Body;Emotion
since feeling is first;Sadness
who pays any attention;Sadness
to the syntax of things;Sadness
"will never wholly kiss you;";Sadness
wholly to be a fool;Sadness
while Spring is in the world;Sadness
;
my blood approves;Beauty/Joy
and kisses are a better fate;Beauty/Joy
than wisdom;Beauty/Joy
"lady i swear by all flowers. Don""t cry";Beauty/Joy
—the best gesture of my brain is less than;Beauty/Joy
"your eyelids"" flutter which says";Beauty/Joy
;
we are for each other: then;Beauty/Joy
laugh, leaning back in my arms;Beauty/Joy
"for life""s not a paragraph";Beauty/Joy
;
and death i think is no parenthesis;Sadness
;
;
How Do I Love Thee? (Sonnet 43);
;
How do I love thee? Let me count the ways.;"Beauty/Joy 
Awe/Sublime"
I love thee to the depth and breadth and height;"Beauty/Joy 
Awe/Sublime"
My soul can reach, when feeling out of sight;"Beauty/Joy 
Awe/Sublime"
For the ends of being and ideal grace.;"Beauty/Joy 
Awe/Sublime"
"I love thee to the level of every day""s";Beauty / Joy
Most quiet need, by sun and candle  light.;Beauty / Joy
I love thee freely, as men strive for right.;Beauty / Joy
I love thee purely, as they turn from praise.;Beauty / Joy
I love thee with the passion put to use;Beauty / Joy
"In my old griefs, and with my childhood""s faith.";Beauty / Joy
I love thee with a love I seemed to lose;"Beauty/Joy 
Awe/Sublime"
With my lost saints. I love thee with the breath,;"Beauty/Joy 
Awe/Sublime"
"Smiles, tears, of all my life; and, if God choose,";"Beauty/Joy 
Awe/Sublime"
I shall but love thee better after death.;"Beauty/Joy 
Awe/Sublime"
;
;
The Good  Morrow;
;
I wonder, by my troth, what thou and I;Beauty / Joy
Did, till we loved? Were we not weaned till then?;Beauty / Joy
But sucked on country pleasures, childishly?;Beauty / Joy
Or snorted we in the Seven Sleepers’ den?;Beauty / Joy
"’Twas so; but this, all pleasures fancies be.";Beauty / Joy
If ever any beauty I did see,;Beauty / Joy
Which I desired, and got, ’twas but a dream of thee.;Beauty / Joy
;
And now good  morrow to our waking souls,;Beauty / Joy
"Which watch not one another out of fear;";Beauty / Joy
For love, all love of other sights controls,;Beauty / Joy
And makes one little room an everywhere.;Beauty / Joy
Let sea  discoverers to new worlds have gone,;Vitality
Let maps to other, worlds on worlds have shown,;Vitality
Let us possess one world, each hath one, and is one.;Vitality
;
My face in thine eye, thine in mine appears,;Beauty / Joy
