Body;Emotion
This has been such a back and forth story, if only there was some kind of sports metaphor to go with it.;Humour
Hope at least some of this has been captured on Nothing to Declare;Humour
"Two questions:
1) Is he removed from the hotel he's staying at and put back into a detention centre until being deported?
2) Will his 3 year ban from Australia for lying on immigration forms also apply to any of the other 5-eyes nations like it usually would?";Humour
First player to be out of a tournament after missing just two shots.;Humour
"if he gets 3-year re-entry ban, he'll be 38 by the time hes allowed to play in australia again, he'll probably be retired, which means hes 
already played his last game at Australian open";Humour
"I don’t see how Australia has any choice. They sternly insist that customs and immigration forms be accurate, or else consequences. If they say oh okay, unless your agent makes a human error, that’s fine. 
This was all in public, so there was really no way to quietly correct everything. 
The only downside is that I was hoping to someday sneak an overseas orange into 
Sydney by having my agent fill out NO on that question.";Awe
His Dad's response is going to be LIT;Humour
"Alex Hawke, the Immigration Minister used his authority to cancel Novak's visa.

If you can't be bothered clicking, here's his statement:
>""Today I exercised my power under section 133C(3) of the Migration Act to cancel the visa held by Mr Novak Djokovic on health and good order grounds, on the basis that it was in the public interest to do so.
>""This decision followed orders by the Federal Circuit and Family Court on 10 January 2022, quashing a prior cancellation decision on procedural fairness grounds.
>""In making this decision, I carefully considered information provided to me by the Department of Home Affairs, the Australian Border Force and Mr Djokovic.
>""The Morrison Government is firmly committed to protecting Australia's borders, particularly in relation to the COVID-19 pandemic.
>""I thank the officers of the Department of Home Affairs and the Australian Border Force who work every day to serve Australia's interests in increasingly challenging operational environments.”

He lied on his forms, and breached his visa doing so. No complaints here.";Vitality
Novisa Djokevict;Humour
Immigration Minister Hawke was just *so over this whole thing*.;Humour
They gave every opportunity to clarify/justify but his stupid ass and his parents did themselves no favors every step of the way.;Annoyance
Dumbest hills to die on.;Humour
"Hard for him to appeal getting canceled on ""health grounds"" when he obviously couldn't give a shit about covid";Annoyance
"Good luck appealing this in the Federal Court, it is almost unprecedented in Australia for a federal judge to order the executive 
government to grant someone a visa.";Awe
CONSEQUENCES? FOR MY ACTIONS?!;Humour
Every decision has a consequence. He chose his beliefs over career, he shouldn’t complain over the decision.;Awe
It’s good to see people that is put in pedestals being hold accountable. Sucks he’ll miss out the opportunity, but justice should be fair and equal.;Joy
